backen	bäckst/bäckt	backte/buk	gebacken	bake
befehlen	befiehlst/befieht	befahl	befohlen	command
befleißen	befleißt/befleißt	befliß	beflissen	take pains
beginnen	beginnst/beginnt	begann	begonnen	begin
beißen	beißt/beißt	biß	gebissen	bite
bergen	birgst/birgt	barg	geborgen	rescue
bersten	birst/birst	barst	geborsten	burst
bescheißen bescheißt/bescheißt	beschiß	beschissen	cheat
bewegen	bewegst/bewegt	bewog	bewogen	induce
biegen	biegst/biegt	bog	gebogen	bend
bieten	bietst/bietet	bot	geboten	offer
binden	bindest/bindet	band	gebunden	bind
bitten	bittest/bittet	bat	gebeten	request
blasen	bläst/bläst	blies	geblasen	blow
bleiben	bleibst/bleibt	blieb	geblieben	remain
bleichen	bleichst/bleicht	bleichte	geblichen	fade
braten	brätst/brät	briet	gebraten	roast
brechen 	brichst/bricht	brach	gebrochen	break
brennen	brennst/brennt	brannte	gebrannt	burn
bringen	bringst/bringt	brachte	gebracht	bring
denken	denkst/denkt	dachte	gedacht	think
dingen	dingst/dingt	dingte	gedungen	hire
dreschen	drischst/drischt	drasch	gedroschen	thresh
dringen 	dringst/dringt	drang	gedrungen	penetrate
dünken	dünkst/dünkt	dünkte	gedünkt	seem
dürfen	darf/darfst/darf	durfte	gedurft	be allowed
empfehlen	empfiehlst/empfiehlt	empfahl	empfohlen	recommend
erbleichen erbleichst/erbleicht	erbleichte	erblichen	pale
erkiesen	erkiest/erkiest	erkor	erkoren	choose
erlöschen	erlischst/erlischt	erlosch	erloschen	die (out)
erschrecken	erschrickst/erschrickt	erschrak	erschrocken	frighten
essen	ißt/ißt	aß	gegessen	eat
fahren 	fährst/fährt	fuhr	gefahren	drive
fallen	fällst/fällt	fiel	gefallen	fall
fangen	fängst/fängt	fing	gefangen	catch
fechten	fichtst/ficht	focht	gefochten	fence
finden	findest/findet	fand	gefunden	find
flechten	flichst/flicht	flocht	geflochten	plait
fliegen 	fliegst/fliegt	flog	geflogen	fly
fliehen 	fliehst/flieht	floh	geflohen	flee
fließen	fließt/fließt	floß	geflossen	flow
fragen	fragst/fragt	fragte/frug	gefragt	ask
fressen	frißt/frißt	fraß	gefressen	snarf
frieren	frierst/friert	fror	gefroren	freeze
gären	gärst/gärt	gor	gegoren	ferment
gebären	gebärst/gebärt	gebar	geboren	give birth
geben	gibst/gibt	gab	gegeben	give
gedeihen	gedeihst/gedeiht	gedieh	gediehen	thrive
gehen	gehst/geht	ging	gegangen	go
gelingen	--/gelingt	gelang	gelungen	succeed
gelten	giltst/gilt	galt	gegolten	be worth
genesen	genest/genest	genas	genesen	convalesce
genießen	genießt/geneißt	genoß	genossen	enjoy
geraten	gerätst/gerät	geriet	geraten	turn out
geschehen	--/geschieht	geschah	geschehen	happen
gewinnen	gewinnst/gewinnt	gewann	gewonnen	win
gießen	gießt/gießt	goß	gegossen	pour
gleichen	gleichst/gleicht	glich	geglichen	compare
gleißen	gleißt/gleißt	gleißte/gliß	geglissen	gleam
gleiten	gleitest/gleitet	glitt	geglitten	glide
glimmen	glimmst/glimmt	glomm	geglommen	glow
graben	gräbst/gräbt	grub	gegraben	dig
greifen	greifst/greift	griff	gegriffen	seize
haben	hast/hat	hatte	gehabt	have
halten	hältst/hält	hielt	gehalten	hold
hängen	hängst/hängt	hing	gehangen	hang
hauen	haust/haut	haute	gehauen	hew
heben	hebst/hebt	hob	gehoben	lift
heißen	heißt/heißt	hieß	geheißen	be called
helfen	hilfst/hilft	half	geholfen	help
kennen	kennst/kennt	kannte	gekannt	know
klimmen	klimmst/klimmt	klomm	geklommen	climb
klingen	klingst/klingt	klang	geklungen	sound
kneifen	kneifst/kneift	kniff	gekniffen	pinch
kommen	kommst/kommt	kam	gekommen	come
können	kann/kannst/kann	konnte	gekonnt	be able
kreischen	kreischst/kreischt	kreischte	gekreischt	shriek
kriechen	kriechst/kriecht	kroch	gekrochen	crawl
küren	kürst/kürt	kürte	gekürt	choose
laden	lädst/lädt	lud	geladen	load
lassen	läßt/läßt	ließ	gelassen	let
laufen	läufst/läuft	lief	gelaufen	run
leiden	leidest/leidet	litt	gelitten	suffer
leihen	leihst/leiht	lieh	geliehen	lend
lesen	liest/liest	las	gelesen	read
liegen	liegst/liegt	lag	gelegen	lie
löschen	lischst/lischt	losch	geloschen	go out
lügen	lügst/lügt	log	gelogen	tell lies
mahlen	mahlst/mahlt	mahlte	gemahlen	grind
meiden	meidest/meidet	mied	gemieden	avoid
melken	melkst/melkt	melkte	gemelkt	milk
messen	mißt/mißt	maß	gemessen	measure
mißlingen	--/mißlingt	mißlang	mißlungen	fail
mögen	mag/magst/mag	mochte	gemocht	like
müssen	muß/mußt/muß	mußte	gemußt	must
nehmen	nimmst/nimmt	nahm	genommen	take
nennen	nennst/nennt	nannte	genannt	name
pfeifen	pfeifst/pfeift	pfiff	gepfiffen	whistle
pflegen	pflegst/pflegt	pflegte	gepflegt	care for
preisen	preist/preist	pries	gepriesen	praise
quellen	quillst/quillt	quoll	gequollen	well up
raten	rätst/rät	riet	geraten	guess
reiben	reibst/reibt	rieb	gerieben	rub
reißen 	reißt/reißt	riß	gerissen	tear
reiten	reitest/reitet	ritt	geritten	ride
rennen	rennst/rennt	rannte	gerannt	run
riechen	riechst/riecht	roch	gerochen	smell
ringen	ringst/ringt	rang	gerungen	wrestle
rinnen	rinnst/rinnt	rann	geronnen	trickle
rufen	rufst/ruft	rief	gerufen	call
salzen	salzt/salzt	salzte	gesalzen	salt
saufen	säufst/säuft	soff	gesoffen	booze
saugen	saugst/saugt	sog	gesogen	suck
schaffen	schaffst/schafft	schuf	geschaffen	create
schallen	schallst/schallt	schallte	geschollen	resound
scheiden	scheidest/scheidet	schied	geschieden	separate
scheinen	scheinst/scheint	schien	geschienen	shine
scheißen	scheißt/scheißt	schiß	geschissen	shit
schelten	schiltst/schilt	schalt	gescholten	scold
scheren	schierst/schiert	schor	geschoren	shear
schieben	schiebst/schiebt	schob	geschoben	push
schießen	schießt/schießt	schoß	geschossen	shoot
schinden	schindest/schindet	schindete	geschunden	fleece
schlafen	schläfst/schläft	schlief	geschlafen	sleep
schlagen	schlägst/schlägt	schlug	geschlagen	strike
schleichen	schleichst/schleicht	schlich	geschlichen	creep
schleifen	schleifst/schleift	schliff	geschliffen	sharpen
schleißen	schleißt/schleißt	schliß	geschlissen	pluck
schließen	schließt/schließt	schloß	geschlossen	close
schlingen	schlingst/schlingt	schlang	geschlungen	wind; bolt
schmeißen	schmeißt/schmeißt	schmiß	geschmissen	chuck
schmelzen	schmilzt/scmhilzt	schmolz	geschmolzen	melt
schnauben	schnaubst/schnaubt	schnaubte	geschnaubt	snort
schneiden	schneidest/schneidet	schnitt	geschnitten	cut
schreiben	schreibst/schreibt	schrieb	geschrieben	write
schreien	schreist/schreit	schrie	geschrien	scream
schreiten	schreitest/schreitet	schritt	geschritten	stride
schwären	schwärst/schwärt	schwärte	geschwärt	fester
schweigen	schweigst/schweigt	schwieg	geschwiegen	clam up
schwellen	schwillst/schwillt	schwoll	geschwollen	swell
schwimmen	schwimmst/schwimmt	schwamm	geschwommen	swim
schwinden	schwindest/schwindet	schwand	geschwunden	disappear
schwingen	schwingst/schwingt	schwang	geschwungen	swing
schwören	schwörst/schwört	schwur	geschworen	swear
sehen	siehst/sieht	sah	gesehen	see
sein	bin/bist/ist	war	gewesen	be
senden	sendest/sendet	sandte	gesandt	send
sieden	siedest/siedet	siedete	gesiedet	boil
